Год,Месяц,БЕ,Класс ЕО,Модель ЕО,count,month_year
2009,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,10_2009
2009,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,11_2009
2009,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,12_2009
2010,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,1_2010
2010,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,2_2010
2010,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,3_2010
2010,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,4_2010
2010,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,5_2010
2010,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,6_2010
2010,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,7_2010
2010,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,8_2010
2010,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,9_2010
2010,10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,10_2010
2010,11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,11_2010
2010,12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,12_2010
2011,1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,1_2011
2011,2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,2_2011
2011,3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,3_2011
2011,4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,4_2011
2011,5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,5_2011
2011,6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,6_2011
2011,7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,7_2011
2011,8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,8_2011
2011,9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,1,9_2011
