,level_1_description,eo_class_description,eo_model_name,year,month,eo_code,count
0,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2009,10,100000062379,1
1,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2009,11,100000062379,1
2,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2009,12,100000062379,1
3,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,1,100000062379,1
4,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,2,100000062379,1
5,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,3,100000062379,1
6,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,4,100000062379,1
7,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,5,100000062379,1
8,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,6,100000062379,1
9,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,7,100000062379,1
10,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,8,100000062379,1
11,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,9,100000062379,1
12,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,10,100000062379,1
13,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,11,100000062379,1
14,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,12,100000062379,1
15,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,12,100000065606,1
16,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,12,100000065607,1
17,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,12,100000065608,1
18,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,12,100000065609,1
19,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2010,12,100000065611,1
20,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000062379,1
21,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065606,1
22,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065607,1
23,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065608,1
24,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065609,1
25,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065611,1
26,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065612,1
27,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,1,100000065613,1
28,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000062379,1
29,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065606,1
30,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065607,1
31,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065608,1
32,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065609,1
33,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065611,1
34,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065612,1
35,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065613,1
36,Олимпиадинский ГОК,Самосвалы карьерные,Самосвалы CAT 785C,2011,2,100000065614,1
